iso3,country,region,income_group,growth24,lngdppc23,gcf23,highinc,infl23,unemp23,trade23,popgrow23,gdppc23,gdppc24
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0.639636335125493,8.321497440966105,16.4907339937373,0,33.8847763115546,6.753,40.4504007720031,1.68834126904494,4111.3118479018,4137.6092923313
ESP,Spain,Europe & Central Asia,High income,2.4041321862390053,10.259714515507623,21.1209265029601,1,3.53236133492433,12.179,71.7976366055733,1.17836618688432,28558.6319817501,29245.2192451729
EST,Estonia,Europe & Central Asia,High income,-0.23965215431362985,9.90978632598162,25.1272018410877,1,9.15922507983982,6.378,154.592617111149,1.57745133607335,20126.3730486957,20078.1397620993
ETH,Ethiopia,Sub-Saharan Africa ,Low income,4.868199776186044,6.736310283223052,22.1694039604305,0,30.2188278135278,3.375,20.5982015071406,2.6036241976442,842.446604881663,883.458588614999
FIN,Finland,Europe & Central Asia,High income,-0.2684123676879868,10.718774518542816,23.0226552627241,1,6.25064322154763,7.149,85.5141847218915,0.499192375381062,45196.4814400136,45075.1684940688
FJI,Fiji,East Asia & Pacific,Upper middle income,3.0137530946860114,8.658965195551744,19.7992404570242,0,2.97544080604539,5.316,126.282134510517,0.51237740019889,5761.56947891018,5935.20895738332
FRA,France,Europe & Central Asia,High income,0.9257007615998125,10.579473701890324,22.9278749312543,1,4.8783572650844,7.335,70.6261450610225,0.275093143443794,39319.4152227295,39683.3953489029
FRO,Faroe Islands,Europe & Central Asia,High income,0.39708106296465484,10.986437215919842,31.3788787867634,1,,,113.336400780359,0.914125348702147,59067.5637446297,59302.1098546142
GAB,Gabon,Sub-Saharan Africa ,Upper middle income,1.1883528167880852,8.7858841212147,18.0760661099963,0,3.62901534185376,20.161,91.4786533179144,2.19891289669511,6541.25368618042,6618.9868586134
GBR,United Kingdom,Europe & Central Asia,High income,-0.021260183100035857,10.777103616697978,18.4594014019513,1,6.79396706793963,4.025,64.9923841747803,1.30728496203423,47911.1540134832,47900.9680144146
GEO,Georgia,Europe & Central Asia,Upper middle income,6.88825844146288,8.72917396650096,24.9987945206376,0,2.48776056578715,11.549,107.151179161579,0.0802640328443946,6180.6206023429,6606.35772271858
GHA,Ghana,Sub-Saharan Africa ,Lower middle income,3.8813186561723168,7.645786603214523,10.1167734489869,0,38.1069656296501,2.829,64.3878615301086,1.90860289687983,2091.81335596465,2173.00329800201
GIN,Guinea,Sub-Saharan Africa ,Lower middle income,2.8559023366211633,6.924495327252559,23.4269896966463,0,7.80497591927973,5.141,95.829526758227,2.46199049961035,1016.88094800324,1045.92207475792
GMB,"Gambia, The",Sub-Saharan Africa ,Low income,3.174702502337312,6.600703327910118,27.4459749946814,0,16.9742129632327,6.479,39.9620173467122,2.30124049704572,735.612384062616,758.965888826955
GNB,Guinea-Bissau,Sub-Saharan Africa ,Low income,2.1319646411961823,6.64574699934486,26.1883825780139,0,7.10220928557059,2.632,42.4351515242076,2.24529187264064,769.504652461795,785.91021956464
GNQ,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,-1.9892322891804093,8.515644145893624,5.29395318380449,0,2.85949506037322,8.218,60.6886626813037,2.41057232825781,4992.26076814571,4892.95310498567
GRC,Greece,Europe & Central Asia,High income,2.1083257095763086,9.954696921932085,16.1682825755533,1,3.46480128513405,11.023,92.4710882947018,-0.292192792101549,21050.8648111581,21494.6856060599
GTM,Guatemala,Latin America & Caribbean ,Upper middle income,2.1292786815084064,8.404932288649032,16.5190523218535,0,6.20657592272126,2.344,48.3297978472591,1.53986971917384,4469.05514652918,4564.21378502908
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,2.7930496401494143,10.680951321921984,16.1515290771197,1,2.09660511249089,2.949,353.194608900413,2.55352466697343,43518.9311789918,44734.4365296835
